sector;province;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-03;2022-04;2022-05;2022-06;2022-07;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-03;2023-04;2023-05
 Kimyevi Maddeler ve Mamulleri  ;BOLU;3642.11625;3554.14388;4170.07107;3844.43723;2336.94458;2222.33482;2826.71094;2362.58274;2993.66316;2005.33461;1910.2599;1838.11124;2463.89998;2222.10296;1682.15359;2269.09488;2353.24737;1863.425;2463.85572;2575.59314;2293.52659;2415.06879;2121.1293;1632.34401;2144.67247;2095.68961;1901.34194;1685.60117;1378.29748;2223.60855;2266.09118;2645.91435;2764.1415;3021.55278;3338.28977;3361.54757;2145.09772;3847.88144;2400.17665;3389.63695;2558.74742;4091.88168;2769.53399;3232.53407;3869.29426;3338.28977;4181.85345;3316.68741;2893.72783;3429.86583;3875.7207;4164.79491;3181.97009;4451.59849;2805.04515;3006.79187;3394.52082;4487.81069;3354.06798;4477.09418;4025.71621;3423.05678;3679.41979;5106.4365;5427.83415
 Kuru Meyve ve Mamulleri  ;BOLU;0;2.61612;0;0;1.8252;0;0;0;0.18476;0;1.99076;0;0;0;0;0;0;0;0;0;0;1.31804;0;0;0;0;0;0;0;0;0;0;0.01582;0;0;0;0;0;0.08617;0;0;1.50759;0;0;0;0;0;0;0;0;9.17875;6.38926;0;0;0;0;0;0;14.20722;0;0;0.30844;0;1.90493;0
 Madencilik Ürünleri;BOLU;0;1.8435;0;4.26046;3.32692;0;0;2.35152;0;3.20175;0;1.20915;6.80303;82.36478;33.08962;84.86698;186.90909;18.85995;225.9983;55.88243;65.2307;142.32259;1.23979;189.97205;5.7204;206.13928;71.71939;3.23978;126.44883;126.86745;184.50132;67.10593;80;161.69872;0.42;64.91631;148.89403;93.80536;122.10694;99.90163;14;31.23188;39.66686;36.58512;58.92451;0.42;85.62505;50.09741;26.50152;93.55644;5.3676;106.39972;11.15814;6.67481;33.80658;31.54735;43.89675;4.6307;29.1798;9.2642;3.0108;15.92682;56.32446;20.90883;0
 Makine ve Aksamları;BOLU;126.58035;145.73672;137.00798;79.97371;340.34511;221.90896;85.07254;56.73013;58.45296;106.98244;160.63872;116.2657;114.25517;642.22343;99.1988;138.25512;134.40841;118.32307;176.89606;192.37034;134.03673;109.0327;222.36635;128.95366;153.33072;92.71453;111.52687;124.47357;32.6545;312.5294;285.74534;238.9559;263.02641;247.48191;414.16774;224.37782;306.40428;350.22198;320.29694;598.11238;737.00881;197.71577;359.07208;190.15175;346.56852;414.16774;399.40735;246.31936;174.52105;208.67403;828.59099;1017.48276;188.50061;173.47505;341.48989;214.0374;359.23991;434.26272;660.04806;152.23203;527.23096;798.10295;279.32531;242.73822;432.92623
 Meyve Sebze Mamulleri ;BOLU;42.9624;51.26727;0.2672;198.86819;191.86447;0;0;0;48.21169;51.33582;113.01329;30.31988;48.86997;24.3888;0;0;31.61353;58.58969;188.48532;38.18724;89.3476;78.83096;197.66992;181.9731;22.22908;20.93326;0;62.44062;4.50475;0;0;0;0.87513;0;0;93.05103;0;44.50724;129.39312;76.872;65.45257;23.42088;0;65.80364;0;0;31.22224;29.764;0;4.27904;33.07136;0;0;0;0;15.35998;0;21.16154;44.65161;0;12.7776;10.98974;12.07835;2.96466;0
 Otomotiv Endüstrisi;BOLU;627.82905;814.57368;1932.34126;1369.14899;1341.75012;532.29303;310.65822;566.77162;722.43547;671.79822;1106.46074;903.57591;488.30876;394.81744;735.81695;1031.3518;908.93622;306.33768;1524.73754;1062.19265;1469.22022;1748.11724;1238.27394;689.5476;442.29038;1017.58249;643.22865;7.57037;19.57681;48.51911;63.01148;29.15533;476.60176;465.06045;523.08432;262.3563;139.35644;392.01073;283.01636;356.03368;324.743;563.50249;150.87854;272.38928;293.34817;523.08432;823.11405;383.55461;144.63802;609.36703;77.93141;268.75074;133.58908;582.43308;252.29471;338.67535;63.75851;550.57253;273.77673;200.82008;370.53042;355.89839;177.93519;130.68756;224.66633
 Su Ürünleri ve Hayvansal Mamuller;BOLU;3929.25598;4414.94607;4938.29283;6525.77381;6691.03713;5657.67965;6002.33192;5910.48961;6651.3198;6856.77954;5315.80535;2446.42382;3386.36182;4151.38299;5233.27189;5684.31434;6120.13466;2919.65648;3869.84429;3208.2174;3251.25361;2996.66624;5317.9295;2844.20788;4884.70574;4297.71749;4818.4242;3866.60269;2721.72587;3452.17966;3895.60452;3702.22521;4169.1845;4625.60114;4863.33844;3793.13752;3467.73159;3612.37131;7001.724;9421.81842;5459.65487;8413.11177;5330.83985;6146.71303;5504.11164;4863.33844;6038.6117;5044.30175;5131.37763;6006.22617;7245.51857;7227.5562;5431.43086;5663.33107;4524.46379;4301.5778;7991.38158;5018.77102;5582.44496;6829.27718;3710.13689;3296.77808;5340.3425;4291.38797;3649.57376
 Tekstil ve Hammaddeleri;BOLU;0;0;0;0;0;0;0;0;0;0.2537;0;0.33197;0;0;0.8284;0;0;0;0;0;0;0;0.11;0;0;0.612;0;0;0;0;0;0;0;0;0;0;39.6312;80.31181;0;14.00791;2.085;59.61373;82.96254;0.04981;9.20666;0;0.646;0.01416;0;0;0;0.00556;8.95;1.03836;0;0;0.50708;0;0;0;0;0;0;0;0
 Yaş Meyve ve Sebze  ;BOLU;0;0.35982;0;0;0;0;0;0;0.03821;0;0;0;0;0;0;0;0;0;0;0;0;1.93655;24.8812;26.55144;0;0;0;0;0;0;0;0;0.35557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03203;0;0;0;0;0;0;0;0;0;0;0;0.1162;0;0;0
 Zeytin ve Zeytinyağı ;BOLU;0;11.99735;0;0;0;0;0;0;15.23131;3.23748;4.58784;1.8786;5.5;0;0;0;3.04971;0;1.86935;0;0;0.86921;0;0;0;0;0;0;0;0;0;0;0.0866;0;0;0;0;0;2.45617;0;0;5.66346;0;0;0;0;8.96669;0;0;15.77017;0;0;0;0;0;19.53336;0;28.52269;0;0;0;6.36604;4.78693;0;0
