sector;province;2018-01;2018-12;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2019-06;2018-08;2018-09;2018-10;2018-11;2019-01;2019-02;2019-03;2019-04;2019-05;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2021-05;2020-06;2020-07;2021-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2022-04;2021-06;2022-06;2022-05;2021-08;2022-08;2022-07;2021-09;2021-10;2022-10;2021-11;2022-11;2021-12;2022-12;2022-01;2023-01;2022-02;2023-02;2022-03;2023-03;2023-04;2023-05
 Yaş Meyve ve Sebze  ;ADANA;17429.22708;20169.66939;13003.40898;11099.11269;5309.92378;6661.27757;4453.68866;2490.34013;5862.70327;3620.17942;7109.84234;13641.04894;23259.12655;15094.35218;9310.18734;6934.10848;3972.12289;4674.84815;2514.46171;3294.54198;5873.07921;14065.19087;21645.96939;20091.69516;16287.20245;10512.73767;7260.1819;3636.35897;4298.47963;5245.65491;8206.01617;3117.50363;2618.15656;2349.17067;5452.64826;13893.11458;15364.32955;21534.72058;14677.89004;11895.91656;7264.63095;3501.69383;5379.64977;10931.3985;11806.03677;6395.40841;3303.53197;5597.80792;5390.9578;5557.13591;15268.28127;12839.2284;20874.76151;23930.13467;23817.60355;29280.98464;18997.17458;23722.17186;15048.42173;19288.3631;10670.73823;18109.16685;7516.94882;8558.30511
 Zeytin ve Zeytinyağı ;ADANA;55.10451;87.14479;28.64895;76.45567;83.8649;93.63688;16.18394;60.87607;38.07622;44.71913;73.91406;38.14066;28.44252;104.60881;52.748;51.8135;66.20977;18.4082;1.17489;10.03074;18.01084;21.54409;22.84954;36.19962;73.67295;34.90856;5.94006;10.18254;13.72261;30.86228;30.81138;17.83776;72.47674;0;56.18206;62.90601;36.14139;44.66728;303.12613;83.07919;27.3108;46.03557;12.20038;52.89817;40.35875;53.11527;50.74313;3.37438;22.74525;8.8913;36.14139;22.85698;5.73165;53.76002;44.94832;60.8756;33.94626;92.80918;93.29967;80.75644;68.95069;167.92324;133.42602;80.18728
TOPLAM;ADANA;151144.6151;181781.1094;141839.0977;177597.0916;158277.6328;181085.4154;142111.1705;160080.1548;116974.7505;167274.6755;156498.6565;199533.1612;195168.3561;160776.5616;147442.7566;163425.2289;158032.7744;180032.3427;167860.9807;137120.6043;152937.7345;190931.5572;178456.9452;164005.8062;159224.1325;152515.9542;150814.1639;111180.3088;117980.0076;180994.7396;167775.1126;159605.629;182154.8619;140044.7536;155251.4733;168267.5785;233046.6055;186701.3966;165269.2837;166493.1249;197453.1159;190486.3278;267942.4043;210820.7347;286423.6475;238445.9189;210647.6816;260105.4727;236393.8275;216255.8028;232684.2129;234474.5648;271586.7991;255498.0133;266405.5;263143.7661;206686.6036;235166.2438;233659.0028;207550.2333;283097.5917;247974.4245;225874.0115;240694.2112
 Çelik;ADIYAMAN;3.29018;6.34922;4.82682;15.95792;0;0;6.03792;2.75;222.481;4.17717;30.33876;9.44427;1.4076;248.31316;2.29679;14.4285;53.76845;213.77192;0;0;382.81287;0;95.493;0;7.43028;0;0;573.6783;0;0;30.3;0;3.77164;0;3.55952;0;0;3.42253;0;0;24.67933;0;124.94438;0;10.34126;45.46375;0;0;60.056;21.49032;0;0;2.26376;2.90234;0;0;1.55284;154.65389;0;0;1.74294;10.62892;0;0
 Çimento Cam Seramik ve Toprak Ürünleri;ADIYAMAN;52.69921;22.09411;9.21477;5.73386;0;0.02196;0;0;25.81901;10.34304;29.34564;60.69537;5.90631;5.20791;52.03401;11.39035;47.50722;70.7842;14.68066;16.37669;134.84121;57.89642;3.35718;94.91723;15.66267;38.73429;1.39272;27.09528;23.4508;26.49868;40.55227;39.90083;26.94678;16.60367;13.83607;13.73911;10.45709;65.99206;22.85414;15.39528;44.91848;29.05511;107.95861;27.15513;217.49749;20.82618;8.6454;0;46.66124;19.10668;10.45709;854.04436;26.12071;58.0934;31.22451;0.4297;52.11422;47.84656;127.92211;0.45169;169.66745;0.30914;0.18844;0.45248
 Demir ve Demir Dışı Metaller ;ADIYAMAN;15.17583;16.49421;23.5779;22.3781;17.08916;9.08491;10.39997;6.61306;20.16631;29.14825;19.44112;95.84929;5.28335;6.31734;10.91324;73.63407;124.26592;54.73326;40.88983;38.22;52.82075;126.24047;94.7424;56.44986;33.10958;93.18787;0.45886;40.5;30.24506;3.24862;35.99107;38.22167;12.55526;11.73683;75.17863;18.74465;43.75763;31.39295;32.23634;33.12002;63.88408;18.23752;196.07381;11.88001;25.41591;114.88043;45.03975;234.54117;339.93985;30.04776;45.69348;46.74192;190.34436;43.65671;213.32553;499.71945;276.80431;455.85456;212.01398;11.20998;101.69179;46.05006;40.35254;43.77779
 Deri ve Deri Mamulleri ;ADIYAMAN;152.97413;3.68172;170.17784;125.33437;1.1694;0;0;0;0;0;0;7.58231;1.77743;5.81376;1.22578;4.72446;2.62413;0.00302;0;0;9.88265;0.79755;3.57494;1.18376;1.62715;0.81946;7.06334;0;0;0.06398;0;0;0;0;0;0;2.31082;0;0;0;1.61143;0;0;0;0;0;0;0;0;7.3929;2.31082;0;0.23853;0.03229;1.36494;0.52135;0;0.7143;0.07411;0.19369;0.88567;0.10587;0;0.02225
 Halı ;ADIYAMAN;0;0;0;49.80311;0;113.56878;0;0;0;0;68.2317;14.07715;2.12183;0;1.8238;1.49929;0;0;0;0;0;0;7.45865;0;0;0;0;0;3.68992;0;0;0;0;0;0;25.46338;2.57594;0.07059;0.36276;0.29775;0;0.24064;0.16193;0.07764;0;0;0;0;0;0.23077;2.57594;68.88554;1.75696;0;0.03563;0.12089;0.39574;0.49683;0.31028;0.14879;0.52851;0;0;0.59052
 Hazırgiyim ve Konfeksiyon ;ADIYAMAN;5817.34629;1985.53116;4155.54202;4924.63035;999.96091;948.95098;1123.41589;1718.67437;1571.79986;1093.93881;1416.27646;586.10529;1376.74577;1655.61816;1588.79857;1174.23738;1399.55007;2483.37419;3853.49756;2212.41618;3144.23983;1991.33154;4319.20568;1995.51661;3613.82103;5473.78191;3961.81668;2666.19144;4584.89197;3467.37499;5186.98165;7149.75466;6327.3521;7843.25063;8367.58066;8512.21324;3335.95106;7483.83425;10212.60222;8068.86555;9278.08412;7732.80967;2673.83546;5436.00871;2009.7392;2282.02811;5732.14283;1916.58108;3507.53332;5496.12709;3335.95106;2670.49464;2665.50514;3520.92129;2224.52049;5632.65008;911.88292;4344.82979;1568.52895;5298.45068;1868.77332;5050.26105;2373.31953;2967.46939
 Hububat. Bakliyat. Yağlı Tohumlar ve Mamulleri ;ADIYAMAN;2681.71923;2602.40768;2264.40077;674.87848;2598.55306;4226.91497;350.12744;435.27136;346.13172;4419.12993;550.4406;540.139;855.19058;761.9813;1646.90622;770.5348;774.71141;569.2871;609.18158;599.00277;619.49014;662.17872;2457.34099;687.09073;621.36289;449.56092;2920.6584;1371.32137;507.91782;953.25494;964.31172;769.83342;251.90789;849.08974;859.94771;2535.34223;418.76322;1022.06005;3165.94042;564.33781;553.52785;682.18324;528.90624;628.00838;160.97852;697.94171;475.00944;656.73867;494.5706;559.67868;418.76322;817.20497;1017.24716;1115.22443;2401.96352;1038.85896;899.1619;1445.10167;813.92237;436.86503;170.61568;994.31589;913.02359;702.96445
 İklimlendirme Sanayii;ADIYAMAN;27.84348;0;6.31296;0.65418;0;0;0.74069;0;0.26182;0;3.81995;7.51658;0.56144;0.94079;0;4.86712;31.22618;39.58258;0;4.497;12.744;2.82962;156.63382;29.455;0;6.61622;0;12.6956;1.00812;15.26349;10.31589;13.60117;12.834;2.7798;1.82883;1.76445;8.15883;21.2922;0;0.02856;2.249;0.94;168.7791;84.517;179.09882;501.25466;1.03152;5.9305;7.32;6.0961;8.15883;7.3008;1.729;0.5616;150.694;14.47763;9.48216;1.06243;138.17602;9.27085;20.66433;46.87635;20.186;0
 Kimyevi Maddeler ve Mamulleri  ;ADIYAMAN;65.86317;966.11477;1444.53539;684.0286;198.8205;53.53112;1028.20367;153.93046;1256.94969;912.89106;2010.02432;139.14372;3132.35748;1834.51519;892.94394;947.24127;2541.31345;2131.8709;114.70018;1381.68515;1684.41014;113.47083;1017.09912;662.16536;1602.13446;420.01521;186.61337;19.52562;2576.46505;2468.53606;1208.46895;1633.91354;1006.50513;2056.94982;219.83481;156.52455;552.91165;237.17525;3127.6793;2173.89628;1428.65277;1294.67808;2768.72454;2957.19916;877.15713;3552.51707;478.84374;2185.21385;985.31335;1066.27601;552.91165;1838.31124;1584.05223;1910.89444;421.01164;3970.60901;1951.41311;3514.56857;1138.0259;674.33513;2199.61858;919.02879;1387.65065;519.46088
 Kuru Meyve ve Mamulleri  ;ADIYAMAN;0;1.2162;0;0;0;0;0;0;9.20908;0;0;0;0;0;0;0;0;0;0.10269;0;0;0;0;0;0;0;0;0;0;5.34595;0;0;0;0;0;0;78.79436;0;0;125.41643;0;0;0;83.67477;0;0;0;117.0442;0;0;78.79436;0;0;0;0;0;0;141.63626;0;0;35.7696;0;0;0
 Madencilik Ürünleri;ADIYAMAN;231.77228;164.18969;6.11038;132.75959;0;319.09119;0;107.78144;0;0;0;103.8076;48.89866;186.84668;403.8721;120.14845;12.12866;32.74306;9.55446;2.33561;2.32884;56.55239;0;0;0;0;26.58905;0;6.21542;5.31195;8.37416;2.01121;110.65278;20.79661;0;0.3426;8.81616;37.06904;2.00682;6.72359;2.05556;53.25611;28.6067;3.74718;0.77719;5.85643;16.93552;7.3087;81.87801;34.5213;8.81616;10.67722;15.41529;15.93857;129.31155;52.73667;0;44.11619;19.62327;78.75777;2.06069;0.01585;42.71558;29.97771
 Makine ve Aksamları;ADIYAMAN;20.12558;286.08113;73.5577;97.07499;39.05714;111.24508;3.72404;0;320.77261;54.21394;116.28941;64.74634;135.59085;110.05099;86.08935;237.60423;31.73321;95.16698;422.62109;114.48241;55.10839;77.05471;110.89933;2.4621;186.15114;65.86569;0;40.28014;2.084;45.19214;45.74084;195.78912;79.67584;44.61691;37.19014;1.07263;6.50025;339.76306;0;16.27684;23.24738;111.11347;20;62.85286;338.06854;0;0;155.18072;146.50072;2.51247;6.50025;339.03147;11.193;67.2951;2.41;215.10687;92.26153;438.37777;158.23;31.9;1.54802;0;166.55734;57.3408
 Mücevher;ADIYAMAN;3.51578;1.02015;1.75229;0.91687;0;0;0;0;0;0;0;1.39227;0.48414;0.16733;0.44685;0.31274;0;0;0;0;3.18185;0.80322;3.69695;2.37488;4.5324;1.06678;0.04906;0;0;0;0;0;0;0;0;0;0.69937;0;0;0;0;0;0;0;0;0;0;0;0;2.07119;0.69937;0;1.08637;0.41042;2.42294;2.40556;0.10065;1.0987;0.92279;1.19066;1.52657;0.21174;0;0
 Otomotiv Endüstrisi;ADIYAMAN;3.81524;0;149.69784;2.53817;1.32921;0;16.96848;34.84583;0;0;0;53.44862;60.12846;5.19594;0;7.5995;0;53.81011;0;32.22845;0.03145;32.90587;0;2.56367;0;0;0;0;9.846;0.1296;0;0;0.765;2.60355;0;0;0.11166;0;0.06786;0.89;1.80974;0.08169;380.70272;90.542;343.79029;562.35868;0;1922.50865;1113.77112;0;0.11166;1530.78608;198.35;1810.68143;6.00834;333.6763;458.95613;515.14946;153.46429;0;193.37036;0;0;0
