sector;province;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2019-01;2019-02;2019-03;2019-04;2019-05;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-06;2022-06;2021-08;2022-07;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-03;2023-05
 Madencilik Ürünleri;KIRIKKALE;0;24.02937;20.84326;12.65303;0;0;0;0;33.62969;0;0;0;9.9;21.43795;0;0;0;0;0;0;0;0;15.49748;0;0;0;0;7.26727;0;6.62355;3.29256;68.31645;0;3.04694;0;0;0;2.09485;0;22.0996;0;3.29256;3.55362;0.16444;0;0;4.65;0
 Makine ve Aksamları;KIRIKKALE;141.46813;810.04611;832.9205;304.91744;336.024;296.51868;360.47606;248.50936;97.5958;349.53694;190.90253;492.25574;229.77071;437.83456;529.64539;433.97762;381.82899;101.55834;121.75577;518.09819;173.18221;115.48777;150.3568;332.51828;302.8333;411.09871;219.01127;186.71516;263.09536;207.65428;215.42771;96.67026;425.46689;210.74916;750.93252;350.18586;231.26711;321.14242;174.13663;436.42567;621.11975;215.42771;109.58811;368.0151;271.58134;358.86127;439.30721;464.94985
 Meyve Sebze Mamulleri ;KIRIKKALE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.732;0;0;0;0;0;61.06109;48.64919;0;0;0;0;0;0;0;0;0;0;0;0;0;23.667;48.52122;0;0;0;0
 Otomotiv Endüstrisi;KIRIKKALE;0.83;42.97444;0;0.42;0;0;0;4.672;48.72916;0;0;0;1.37;0;0;0;21.92434;0;0;26.56165;20.44952;0;26.59809;0;40.42713;23.92488;20.43635;25.01191;25.4062;55.10292;9.95024;0;47.30288;0;10.28108;0;29.62442;39.931;0;0;20.38009;9.95024;61.39085;4.44955;0;0;0;0
 Çelik;KIRKLARELI;40.33763;61.01321;25.95585;46.44721;24.7319;87.79891;27.33954;34.52687;42.10229;108.31604;56.07018;40.28188;6.06096;225.2538;25.77653;21.72597;136.02134;37.49221;42.80782;43.57042;25.62671;18.43392;90.96778;66.12043;31.17029;54.65283;56.97096;71.41963;59.95035;46.74692;172.28309;43.9884;89.3854;73.38817;97.70843;415.65906;104.32054;521.5617;95.64489;104.67615;106.82492;172.28309;155.79191;163.69183;200.04019;523.42375;216.43025;172.86735
 Çimento Cam Seramik ve Toprak Ürünleri;KIRKLARELI;0;0;72.5868;101.62152;152.43228;268.44011;269.52849;253.97658;162.51642;146.28763;107.74764;177.99233;0.495;354.02796;0;9.32871;187.75821;261.49161;197.81298;331.22704;148.74931;569.54157;765.20167;734.91821;468.78291;402.99562;1449.16534;1520.34562;1697.88292;1232.54493;0;575.04825;196.19664;327.98753;319.53205;381.63883;448.41334;347.12018;488.8277;18.70588;366.673;0;100.291;64.0697;24.07267;37.4297;1052.19911;727.83891
 Demir ve Demir Dışı Metaller ;KIRKLARELI;90.43974;89.32748;87.0768;53.6513;48.29052;91.33257;140.29426;93.71195;59.61181;151.88478;32.77716;43.76072;75.01544;55.24468;78.09666;238.07127;158.92484;190.62273;170.51694;200.85215;141.69578;55.53777;126.90549;114.29879;225.40065;127.13457;221.03978;346.49289;365.79095;302.23928;356.00459;351.70333;488.65503;352.44972;394.05897;456.44064;347.07718;869.72344;555.23113;743.65502;455.07134;356.00459;686.97939;246.90798;747.89398;1137.96173;1895.11347;469.72111
 Deri ve Deri Mamulleri ;KIRKLARELI;0;0;0;0;0;305.816;541.884;381.628;134.056;38.016;0;99.82;45.92;0;0;192.74624;0;0;6.0012;0;0;0;0;0;0;0;0.40733;0;0;0;0;0;0;0;0;0;0.04595;3.49062;0;0;0;0;0;0.03781;0;0;0.3613;0
 Diğer Sanayi Ürünleri;KIRKLARELI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.45796;0;0;0;0;0;0;0;0;0;0;0.4779;0;0;0;0.18021;0;0.61;0;0;0;0;0.61585;0.00424;0;0;0.62231;0
 Fındık ve Mamulleri ;KIRKLARELI;4.10498;0;0;4.14832;0;0;3.93268;0;0;3.89808;3.18085;3.16492;0;0;3.12694;0;0;0;2.25768;0;2.47524;0;0;0;0;3.44439;3.58739;0;0;1.8596;0;0;3.90693;0;3.74823;0;0;3.39484;0;0;0;0;0;3.58783;0;0;3.4808;0
