sector;province;2023-05;2023-04;2023-03;2023-02;2023-01;2022-12;2022-11;2022-10;2022-09;2022-08;2022-07;2022-06;2022-05;2022-04;2022-03;2022-02;2022-01;2021-12;2021-11;2021-10;2021-09;2021-08;2021-07;2021-06;2021-05;2021-04;2021-03;2021-02;2021-01;2020-12;2020-11;2020-10;2020-09;2020-08;2020-07;2020-06;2020-05;2020-04;2020-03;2020-02;2020-01;2019-12;2019-11;2019-10;2019-09;2019-08;2019-07;2019-06;2019-05;2019-04;2019-03;2019-02;2019-01;2018-12;2018-11;2018-10;2018-09;2018-08;2018-07;2018-06;2018-05;2018-04;2018-03;2018-02;2018-01
 Ya? Meyve ve Sebze  ;ADANA;8558.30511;7516.94882;18109.16685;19288.3631;23722.17186;29280.98464;23930.13467;12839.2284;4511.69649;5597.80792;5390.9578;11806.03677;6395.40841;5379.64977;10670.73823;15048.42173;18997.17458;23817.60355;20874.76151;15268.28127;5557.13591;3303.53197;2618.15656;10931.3985;5245.65491;3501.69383;7264.63095;11895.91656;14677.89004;21534.72058;15364.32955;13893.11458;5452.64826;2349.17067;3117.50363;8206.01617;4298.47963;3636.35897;7260.1819;10512.73767;16287.20245;20091.69516;21645.96939;14065.19087;5873.07921;3294.54198;2514.46171;5862.70327;4674.84815;3972.12289;6934.10848;9310.18734;15094.35218;20169.66939;23259.12655;13641.04894;7109.84234;3620.17942;2490.34013;4453.68866;6661.27757;5309.92378;11099.11269;13003.40898;17429.22708
 Zeytin ve Zeytinya?? ;ADANA;80.18728;133.42602;167.92324;80.75644;92.80918;60.8756;53.76002;22.85698;125.8071;3.37438;22.74525;40.35875;53.11527;12.20038;68.95069;93.29967;33.94626;44.94832;5.73165;36.14139;8.8913;50.74313;72.47674;52.89817;30.86228;46.03557;27.3108;83.07919;303.12613;44.66728;36.14139;62.90601;56.18206;0;17.83776;30.81138;13.72261;10.18254;5.94006;34.90856;73.67295;36.19962;22.84954;21.54409;18.01084;10.03074;1.17489;38.07622;18.4082;66.20977;51.8135;52.748;104.60881;87.14479;28.44252;38.14066;73.91406;44.71913;60.87607;16.18394;93.63688;83.8649;76.45567;28.64895;55.10451
TOPLAM;ADANA;240694.2112;225874.0115;247974.4245;207550.2333;235166.2438;263143.7661;255498.0133;234474.5648;244636.8314;260105.4727;236393.8275;286423.6475;238445.9189;267942.4043;283097.5917;233659.0028;206686.6036;266405.5;271586.7991;232684.2129;216255.8028;210647.6816;182154.8619;210820.7347;180994.7396;190486.3278;197453.1159;166493.1249;165269.2837;186701.3966;233046.6055;168267.5785;155251.4733;140044.7536;159605.629;167775.1126;117980.0076;111180.3088;150814.1639;152515.9542;159224.1325;164005.8062;178456.9452;190931.5572;152937.7345;137120.6043;167860.9807;116974.7505;180032.3427;158032.7744;163425.2289;147442.7566;160776.5616;181781.1094;195168.3561;199533.1612;156498.6565;167274.6755;160080.1548;142111.1705;181085.4154;158277.6328;177597.0916;141839.0977;151144.6151
 Çelik;ADIYAMAN;0;0;10.62892;0;154.65389;0;2.90234;0;261.82528;0;60.056;10.34126;45.46375;124.94438;1.74294;0;1.55284;0;2.26376;0;21.49032;0;3.77164;0;0;0;24.67933;0;0;3.42253;0;0;3.55952;0;0;30.3;0;573.6783;0;0;7.43028;0;95.493;0;382.81287;0;0;222.481;213.77192;53.76845;14.4285;2.29679;248.31316;6.34922;1.4076;9.44427;30.33876;4.17717;2.75;6.03792;0;0;15.95792;4.82682;3.29018
 Çimento Cam Seramik ve Toprak Ürünleri;ADIYAMAN;0.45248;0.18844;0.30914;0.45169;47.84656;0.4297;58.0934;854.04436;567.88052;0;46.66124;217.49749;20.82618;107.95861;169.66745;127.92211;52.11422;31.22451;26.12071;10.45709;19.10668;8.6454;26.94678;27.15513;26.49868;29.05511;44.91848;15.39528;22.85414;65.99206;10.45709;13.73911;13.83607;16.60367;39.90083;40.55227;23.4508;27.09528;1.39272;38.73429;15.66267;94.91723;3.35718;57.89642;134.84121;16.37669;14.68066;25.81901;70.7842;47.50722;11.39035;52.03401;5.20791;22.09411;5.90631;60.69537;29.34564;10.34304;0;0;0.02196;0;5.73386;9.21477;52.69921
 Demir ve Demir D??? Metaller ;ADIYAMAN;43.77779;40.35254;46.05006;11.20998;455.85456;499.71945;43.65671;46.74192;12.40529;234.54117;339.93985;25.41591;114.88043;196.07381;101.69179;212.01398;276.80431;213.32553;190.34436;45.69348;30.04776;45.03975;12.55526;11.88001;3.24862;18.23752;63.88408;33.12002;32.23634;31.39295;43.75763;18.74465;75.17863;11.73683;38.22167;35.99107;30.24506;40.5;0.45886;93.18787;33.10958;56.44986;94.7424;126.24047;52.82075;38.22;40.88983;20.16631;54.73326;124.26592;73.63407;10.91324;6.31734;16.49421;5.28335;95.84929;19.44112;29.14825;6.61306;10.39997;9.08491;17.08916;22.3781;23.5779;15.17583
 Deri ve Deri Mamulleri ;ADIYAMAN;0.02225;0;0.10587;0.19369;0.7143;0.52135;0.03229;0;0.98451;0;0;0;0;0;0.88567;0.07411;0;1.36494;0.23853;2.31082;7.3929;0;0;0;0.06398;0;1.61143;0;0;0;2.31082;0;0;0;0;0;0;0;7.06334;0.81946;1.62715;1.18376;3.57494;0.79755;9.88265;0;0;0;0.00302;2.62413;4.72446;1.22578;5.81376;3.68172;1.77743;7.58231;0;0;0;0;0;1.1694;125.33437;170.17784;152.97413
 Hal? ;ADIYAMAN;0.59052;0;0;0.14879;0.49683;0.12089;0;68.88554;0;0;0;0;0;0.16193;0.52851;0.31028;0.39574;0.03563;1.75696;2.57594;0.23077;0;0;0.07764;0;0.24064;0;0.29775;0.36276;0.07059;2.57594;25.46338;0;0;0;0;3.68992;0;0;0;0;0;7.45865;0;0;0;0;0;0;0;1.49929;1.8238;0;0;2.12183;14.07715;68.2317;0;0;0;113.56878;0;49.80311;0;0
 Haz?rgiyim ve Konfeksiyon ;ADIYAMAN;2967.46939;2373.31953;5050.26105;5298.45068;4344.82979;5632.65008;3520.92129;2670.49464;5874.07373;1916.58108;3507.53332;2009.7392;2282.02811;2673.83546;1868.77332;1568.52895;911.88292;2224.52049;2665.50514;3335.95106;5496.12709;5732.14283;6327.3521;5436.00871;3467.37499;7732.80967;9278.08412;8068.86555;10212.60222;7483.83425;3335.95106;8512.21324;8367.58066;7843.25063;7149.75466;5186.98165;4584.89197;2666.19144;3961.81668;5473.78191;3613.82103;1995.51661;4319.20568;1991.33154;3144.23983;2212.41618;3853.49756;1571.79986;2483.37419;1399.55007;1174.23738;1588.79857;1655.61816;1985.53116;1376.74577;586.10529;1416.27646;1093.93881;1718.67437;1123.41589;948.95098;999.96091;4924.63035;4155.54202;5817.34629
 Hububat. Bakliyat. Ya?l? Tohumlar ve Mamulleri ;ADIYAMAN;702.96445;913.02359;994.31589;436.86503;1445.10167;1038.85896;1115.22443;817.20497;683.87239;656.73867;494.5706;160.97852;697.94171;528.90624;170.61568;813.92237;899.1619;2401.96352;1017.24716;418.76322;559.67868;475.00944;251.90789;628.00838;953.25494;682.18324;553.52785;564.33781;3165.94042;1022.06005;418.76322;2535.34223;859.94771;849.08974;769.83342;964.31172;507.91782;1371.32137;2920.6584;449.56092;621.36289;687.09073;2457.34099;662.17872;619.49014;599.00277;609.18158;346.13172;569.2871;774.71141;770.5348;1646.90622;761.9813;2602.40768;855.19058;540.139;550.4406;4419.12993;435.27136;350.12744;4226.91497;2598.55306;674.87848;2264.40077;2681.71923
