sector;province;2019-01-01;2019-03-01;2019-05-01;2019-07-01;2019-08-01;2019-10-01;2019-12-01;2020-01-01;2020-02-01;2020-03-01;2020-04-01;2020-05-01;2020-06-01;2020-07-01;2020-08-01;2020-09-01;2020-10-01;2020-11-01;2020-12-01;2021-01-01;2021-02-01;2021-03-01;2021-04-01;2021-05-01;2021-06-01;2021-07-01;2021-08-01;2021-09-01;2021-10-01;2021-11-01;2021-12-01;2022-01-01;2022-02-01;2022-03-01;2022-04-01;2022-05-01;2022-06-01;2022-08-01;2022-09-01;2022-10-01;2022-11-01;2022-12-01;2023-01-01;2023-02-01;2023-03-01
 Zeytin ve Zeytinyağı ;MERSIN;528.58367;140775.875;149.45028;0;7.39716;186678.0755;546.59504;420.20494;170002.5219;148794.5352;285.53179;80.66017;0.17955;0;3.96223;161140.1055;212285.4743;5073.10155;8828.68402;122.01473;232.62409;654.7799;778.47074;3904.11724;4370.4728;49125.18276;46840.55443;71300.14953;106828.3577;516.20785;685.12761;77129.07189;79139.67138;995.21279;780.43662;1557.74531;1736.12643;547.94492;733.23852;775.39613;595.46605;1520.84396;1850.44098;1184.49351;2323.95395
 Çelik;MUĞLA;219.61182;1842.21067;143.92192;0;2001.56073;2149.58384;135.95786;158.6091;1736.39443;689.48506;10.97283;89.65105;0;0;355.14063;3045.79011;1691.7993;2552.2092;2875.25776;38203.10416;38387.0284;12.02;33.17153;2249.69447;2061.36689;14580.74617;14547.56005;19029.1936;19797.07872;66694.86833;67981.76262;13980.10963;15078.44612;61.72237;2.11381;129.22121;129.05632;145.62874;332.1889;195.53302;156.79123;170.8229;79.48468;165.32446;124.56881
 Çimento Cam Seramik ve Toprak Ürünleri;MUĞLA;836.81283;101.02633;16.50045;0;6.369;79.13976;439.28269;1045.64196;96.80833;31.01286;17.78612;6.74048;0.00017;0;0;240.59359;73.61974;5595.43018;8425.97664;1703.13749;1728.58943;296.04522;627.00534;17544.36995;15387.72114;2027.55822;2538.76689;4421.02069;3788.3935;3118.39196;2944.1332;3409.70263;3728.29956;462.35544;872.877;54.97466;77.93376;103.02951;0.35819;39.06406;39.98585;24.68236;64.29887;12.15753;52.11292
 Demir ve Demir Dışı Metaller ;MUĞLA;63.11564;26.97268;108.44069;30.8098;229.25057;11.15698;40.62079;11.07312;38.86177;4.45181;6.47556;58.48974;7.25072;5.83886;341.21904;38.95954;238.08285;0.56133;0.19301;12681.91069;13079.08866;3388.9233;4897.03282;1555.47119;2942.46068;10944.14022;6301.93444;11506.97027;7266.35365;16797.27047;17346.78279;5477.79283;4516.92712;3244.67361;3442.37905;1075.29516;2292.47496;98296.16154;94662.98917;95536.06687;94489.68699;2887.41258;3265.93995;2790.28987;1757.57325
 Deri ve Deri Mamulleri ;MUĞLA;7.69487;133.44343;64.21167;0.74609;472.49901;43.46916;0;0;84.88307;14.72833;0;14.69423;0.1216;3.36656;395.03133;111.27105;120.17918;6173.74464;4858.93125;2984.93569;2630.23672;60274.01575;53916.87819;6240.96595;7007.19827;9125.34013;11209.04101;11727.91025;13358.69457;3566.2111;4314.6774;11306.30556;13937.29067;84630.69048;55318.00025;1160.88932;1559.0696;12688.14886;12615.87936;14626.59419;17057.42622;3359.72017;328.54062;759.9856;2610.40122
 Diğer Sanayi Ürünleri;MUĞLA;99.80628;157.57099;0;150.38473;12.77122;29.36239;54.7875;70.6067;15.61674;88.99287;0;0;0.58552;58.50855;54.22861;18.28376;29.61183;5197.86117;5780.13802;3528.19153;9989.05187;1472.35687;2482.34278;13116.30087;10664.32257;1618.87979;2751.95795;3336.63167;2448.08488;5953.50678;9876.57143;3145.38516;7312.8037;3385.6033;2779.72762;0;12.47376;1798.79706;2249.65123;1644.60152;2098.63469;2.14371;94.4883;0;0
 Elektrik Elektronik;MUĞLA;5.96956;0;392.47988;0;103.5279;0;24.72964;5.98896;0;0;162.51203;0;0.02619;0;111.14269;0;0;73.65891;52.11664;8362.76066;8875.68923;19037.72544;15537.49517;1831.34832;2034.32917;6446.10508;5342.40202;5191.94619;4226.07909;12682.72833;13957.9693;9524.37443;7412.12114;17321.74969;18988.43353;159.56221;304.0186;4191.36617;5045.80123;4287.34634;4685.57323;97.37622;27.01361;79.45659;192.18035
 Fındık ve Mamulleri ;MUĞLA;0;2581.38312;0.7;1305.42844;0;118.48073;0;0;0;127.35851;0;0;1421.37277;741.79237;48.94664;882.40262;63.59744;1783.49158;1964.13836;2010.62348;2536.37307;3154.32315;3238.00842;9876.5828;7773.1489;0.15737;0.40061;5.56687;1.07219;2997.87566;1805.57668;0;0.04055;3670.01458;3458.13503;2214.67364;4022.931;92.04474;577.84968;587.1674;90.09842;4079.45669;3566.1327;2492.51157;4529.33669
 Gemi ve Yat;MUĞLA;21.93711;0;417.73759;1934.02207;4961.81035;0;39.54892;7.78984;0;0;280.66076;4806.875;744.79203;1342.60619;4680.05393;6.97976;19.0588;610.21901;2109.50043;9296.37328;6866.41208;5675.48578;10306.14158;55.06189;37.86341;4508.36591;5945.16548;4683.25883;5608.68121;5334.87779;9192.56273;7414.90016;10683.17654;5529.43642;8590.76984;45890.92485;63586.29342;97.10354;19.84385;12.48843;33.46887;108261.13;85741.88254;66738.24258;101662.881
 Halı ;MUĞLA;0;450.77721;587.59185;0;195.80934;210.05657;21.0325;0;265.57201;335.52031;371.37053;790.45282;0.02;0.0024;148.65043;1120.916;2127.22053;109519.2488;116107.9824;2.24478;0.46789;10945.44809;15134.41968;6148.10089;5127.72903;12815.43358;15144.62774;17002.8614;14785.26311;11.21518;0.16899;16537.62614;16398.44743;13874.21693;12052.84459;1352.05557;1867.49416;1357.44824;1538.83224;2040.502;2720.96108;2321.93841;1793.36404;1359.09884;3370.10895
